experiment,model,filter,workers,width,height,seconds
size_sweep,openmp,gaussian_blur,8,5760,3240,0.063880
size_sweep,openmp,sobel,8,5760,3240,0.033166
size_sweep,openmp,sharpen,8,5760,3240,0.008704
size_sweep,openmp,grayscale,8,5760,3240,0.016958
size_sweep,mpi,gaussian_blur,8,5760,3240,0.088657
size_sweep,mpi,sobel,8,5760,3240,0.098944
size_sweep,mpi,sharpen,8,5760,3240,0.044331
size_sweep,mpi,grayscale,8,5760,3240,0.041452
weak_scaling,pthreads,gaussian_blur,1,1920,270,0.019339
weak_scaling,pthreads,sobel,1,1920,270,0.006856
weak_scaling,pthreads,sharpen,1,1920,270,0.003705
weak_scaling,pthreads,grayscale,1,1920,270,0.002905
weak_scaling,openmp,gaussian_blur,1,1920,270,0.005027
weak_scaling,openmp,sobel,1,1920,270,0.003483
weak_scaling,openmp,sharpen,1,1920,270,0.000880
weak_scaling,openmp,grayscale,1,1920,270,0.002171
weak_scaling,mpi,gaussian_blur,1,1920,270,0.005031
weak_scaling,mpi,sobel,1,1920,270,0.003475
weak_scaling,mpi,sharpen,1,1920,270,0.001428
weak_scaling,mpi,grayscale,1,1920,270,0.001869
weak_scaling,pthreads,gaussian_blur,2,1920,540,0.015949
weak_scaling,pthreads,sobel,2,1920,540,0.004996
weak_scaling,pthreads,sharpen,2,1920,540,0.003117
weak_scaling,pthreads,grayscale,2,1920,540,0.003269
weak_scaling,openmp,gaussian_blur,2,1920,540,0.004491
weak_scaling,openmp,sobel,2,1920,540,0.003137
weak_scaling,openmp,sharpen,2,1920,540,0.001292
weak_scaling,openmp,grayscale,2,1920,540,0.001624
weak_scaling,mpi,gaussian_blur,2,1920,540,0.006549
weak_scaling,mpi,sobel,2,1920,540,0.003603
weak_scaling,mpi,sharpen,2,1920,540,0.001544
weak_scaling,mpi,grayscale,2,1920,540,0.005705
weak_scaling,pthreads,gaussian_blur,4,1920,1080,0.025360
weak_scaling,pthreads,sobel,4,1920,1080,0.010658
weak_scaling,pthreads,sharpen,4,1920,1080,0.007155
weak_scaling,pthreads,grayscale,4,1920,1080,0.004852
weak_scaling,openmp,gaussian_blur,4,1920,1080,0.005562
weak_scaling,openmp,sobel,4,1920,1080,0.006692
weak_scaling,openmp,sharpen,4,1920,1080,0.001537
weak_scaling,openmp,grayscale,4,1920,1080,0.003756
weak_scaling,mpi,gaussian_blur,4,1920,1080,0.011998
weak_scaling,mpi,sobel,4,1920,1080,0.010162
weak_scaling,mpi,sharpen,4,1920,1080,0.002491
weak_scaling,mpi,grayscale,4,1920,1080,0.004162
weak_scaling,pthreads,gaussian_blur,8,1920,2160,0.033743
weak_scaling,pthreads,sobel,8,1920,2160,0.013073
weak_scaling,pthreads,sharpen,8,1920,2160,0.007982
weak_scaling,pthreads,grayscale,8,1920,2160,0.008087
weak_scaling,openmp,gaussian_blur,8,1920,2160,0.015163
weak_scaling,openmp,sobel,8,1920,2160,0.013499
weak_scaling,openmp,sharpen,8,1920,2160,0.004067
weak_scaling,openmp,grayscale,8,1920,2160,0.006522
weak_scaling,mpi,gaussian_blur,8,1920,2160,0.028074
weak_scaling,mpi,sobel,8,1920,2160,0.024834
weak_scaling,mpi,sharpen,8,1920,2160,0.005527
weak_scaling,mpi,grayscale,8,1920,2160,0.011521
